Date,Project,Chain,Project Type,Loss,Type,Attack tx,Analyse,Reference Link
20240816,Zenterest,ETH,,21000USD,"Price Out Of Date",https://app.blocksec.com/explorer/tx/eth/0xfe8bc757d87e97a5471378c90d390df47e1b29bb9fca918b94acd8ecfaadc598,,
20240814,NoName,ETH,,5k,Arbitrary Call,https://app.blocksec.com/explorer/tx/eth/0x54f659773dae6e01f83184d4b6d717c7f1bb71c0aa59e8c8f4a57c25271424b3,,
20240812,iVest,BSC,,338WBNB,Business logic flaw,https://bscscan.com/tx/0x12f27e81e54684146ec50973ea94881c535887c2e2f30911b3402a55d67d121d,,
20240806,Novax,BSC,,25k USD,Price Manipulation,https://bscscan.com/tx/0xb1ad1188d620746e2e64785307a7aacf2e8dbda4a33061a4f2fbc9721048e012,,
20240801,Convergence,BSC,,200k USD,Incorrect input validation,https://etherscan.io/tx/0x636be30e58acce0629b2bf975b5c3133840cd7d41ffc3b903720c528f01c65d9,,
20240724,Spectra_finance,ETH,,73k USD,Incorrect input validation,https://app.blocksec.com/explorer/tx/eth/0x491cf8b2a5753fdbf3096b42e0a16bc109b957dc112d6537b1ed306e483d0744?line=7,,
20240714,Minterest,Mantle,,427ETH,Reentrancy,https://mantlescan.xyz/tx/0xb3c4c313a8d3e2843c9e6e313b199d7339211cdc70c2eca9f4d88b1e155fd6bd,,
20240711,SBT,BSC,,56k USD,business logic flaw,https://bscscan.com/tx/0x9a8c4c4edb7a76ecfa935780124c409f83a08d15c560bb67302182f8969be20d,,
20240708,LW,BSC,,7k USD,Integer Underflow,https://app.blocksec.com/explorer/tx/bsc/0x96a955304fed48a8fbfb1396ec7658e7dc42b7c140298b80ce4206df34f40e8d,,
20240705,DeFiPlaza,ETH,,200k USD,loss of precision,https://app.blocksec.com/explorer/tx/eth/0xa245deda8553c6e4c575baff9b50ef35abf4c8f990f8f36897696f896f240e3a,,
20240702,MRP,BSC,,17BNB,Reentrancy,https://app.blocksec.com/explorer/tx/bsc/0x4353a6d37e95a0844f511f0ea9300ef3081130b24f0cf7a4bd1cae26ec393101,,
20240628,Will,BSC,,52k,business logic flaw,https://app.blocksec.com/explorer/tx/bsc/0xc12ccc3bdaf3f0ec1efa09d089a0c1dbad05519e1eb0fa6475ffcc6317cbde4d,,
20240617,Dyson_money,BSC BSC,,52BNB,business logic flaw,https://app.blocksec.com/explorer/tx/bsc/0xdcaedeeaa228b7e9f86ade270cde9af9fd99395e90f9bb71f9c5ac60b703d649|https://app.blocksec.com/explorer/tx/bsc/0x813b5af69a490becf9c19c19a19e0fa9ec53f086a90ed3ce7d1a0b3786e5f6bf,,
20240611,JokInTheBox,ETH,,9.2ETH,business logic flaw,https://app.blocksec.com/explorer/tx/eth/0xe8277ef6ba8611bd12dc5a6e7ca4b984423bc0b3828159f83b466fdcf4fe054f,,
20240610,Bazaar,Blast,,1.4m,Insufficient Permission Check,https://blastscan.io/tx/0x7fdd140f7631f62d62f7256ee4a38af51a4723ad5d66adc9b9685bf78f750f2d,,
20240608,YYStoken,BSC,,28k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0x397a09af6494c0bfcd89e010f5dd65d90f3ee1cf1ff813ce5b0c1d42a1c8dec9,,
20240606,MineSTM,BSC,,13.8K,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0x849ed7f687cc2ebd1f7c4bed0849893e829a74f512b7f4a18aea39a3ef4d83b1,,
20240529,SCROLL,ETH,,76ETH,Integer Underflow,https://app.blocksec.com/explorer/tx/eth/0x661505c39efe1174da44e0548158db95e8e71ce867d5b7190b9eabc9f314fe91,,
20240528,Tradeonorion,BSC,,645K,Business Logic Flaw,https://bscscan.com/tx/0x660837a1640dd9cc0561ab7ff6c85325edebfa17d8b11a3bb94457ba6dcae18c,,
20240522,Burner,ETH,,1.7ETH,sandwich ack,https://app.blocksec.com/explorer/tx/eth/0x3bba4fb6de00dd38df3ad68e51c19fe575a95a296e0632028f101c5199b6f714,,
20240512,TGC,BSC,,32k,Business Logic Flaw,https://bscscan.com/tx/0x12e8c24dec36a29fdd9b9d7a8b587b3abd2519089b6438c194e6e5eb357b68d8,,
20240507,SATURN,BSC,,15BNB,Price Manipulation,https://bscscan.com/tx/0x948132f219c0a1adbffbee5d9dc63bec676dd69341a6eca23790632cb9475312,,
20240430,PikeFinance,ETH,,1.4m,Uninitialized Proxy,https://app.blocksec.com/explorer/tx/eth/0xe2912b8bf34d561983f2ae95f34e33ecc7792a2905a3e317fcc98052bce66431,,
20240417,UnverifiedContr_0x00C409,ETH,,18ETH,unverified external call,https://etherscan.io/tx/0x998f1da472d927e74405b0aa1bbf5c1dbc50d74b39977bed3307ea2ada1f1d3f,,
20240416,SATX,BSC,,50BNB,Logic Flaw,https://bscscan.com/tx/0x7e02ee7242a672fb84458d12198fae4122d7029ba64f3673e7800d811a8de93f,,
20240415,GFA,BSC,,14k USD,business-logic-flaw,https://bscscan.com/tx/0xe15d6f7fa891c2626819209edf2d5ded6948310eaada067b400062aa022ce718,,
20240414,Hackathon,BSC,,20k,business logic flaw,https://bscscan.com/tx/0xea181f730886ece947e255ab508f5af1d0f569fee3368b651d5dbb28549087b5,,
20240412,SumerMoney,Base,,350k,Reentrancy,https://app.blocksec.com/explorer/tx/base/0x619c44af9fedb8f5feea2dcae1da94b6d7e5e0e7f4f4a99352b6c4f5e43a4661,,
20240412,GROKD,BSC BSC,,150BNB,lack of access control,https://app.blocksec.com/explorer/tx/bsc/0x383dbb44a91687b2b9bbd8b6779957a198d114f24af662776f384569b84fc549|https://app.blocksec.com/explorer/tx/bsc/0x8293946b5c88c4a21250ca6dc93c6d1a695fb5d067bb2d4aed0a11bd5af1fb32,,
20240410,BigBangSwap,BSC,,5K $BUSD,precission loss,https://bscscan.com/tx/0x94055664287a565d4867a97ba6d5d2e28c55d10846e3f83355ba84bd1b9280fc,,
20240409,UPS,BSC,,28k USD,business logic flaw,https://app.blocksec.com/explorer/tx/bsc/0xd03702e17171a32464ce748b8797008d59e2dbcecd3b3847d5138414566c886d,,
20240408,SQUID,BSC,,87k USD,sandwich attack,https://bscscan.com/tx/0x9fcf38d0af4dd08f4d60f7658b623e35664e74bca0eaebdb0c3b9a6965d6257b,,
20220618,SNOOD,ETH,,104ETH,Miscalculation on _spendAllowance,https://etherscan.io/tx/0x9a6227ef97d7ce75732645bd604ef128bb5dfbc1bfbe0966ad1cd2870d45a20e,,
20220616,InverseFinance,ETH,,"53.2445 WBTC and 99,976.29 USDT",Flashloan & Price Oracle Manipulation,https://etherscan.io/tx/0x958236266991bc3fe3b77feaacea120f172c0708ad01c7a715b255f218f9313c,,
20220608,"Optimism",ETH ETH,,20 million Optimism (OP) tokens returned 17 million of them,Wintermute,https://optimistic.etherscan.io/tx/0x75a42f240d229518979199f56cd7c82e4fc1f1a20ad9a4864c635354b4a34261|https://optimistic.etherscan.io/tx/0x00a3da68f0f6a69cb067f09c3f7e741a01636cbc27a84c603b468f65271d415b,,
20220606,Discover,BSC BSC,,49BNB,Flashloan & Price Oracle Manipulation,https://bscscan.com/tx/0x8a33a1f8c7af372a9c81ede9e442114f0aabb537e5c3a22c0fd7231c4820f1e9|https://bscscan.com/tx/0x1dd4989052f69cd388f4dfbeb1690a3f3a323ebb73df816e5ef2466dc98fa4a4,,
20220529,NOVO Protocol,BSC,,279BNB,Flashloan & Price Oracle Manipulation,https://bscscan.com/tx/0xc346adf14e5082e6df5aeae650f3d7f606d7e08247c2b856510766b4dfcdc57f,,
