Date,Project,Chain,Project Type,Loss,Type,Attack tx,Analyse,Reference Link
2023.12.31,Channels,BSC,,4.4k,Price Manipulation,https://app.blocksec.com/explorer/tx/bsc/0xcf729a9392b0960cd315d7d49f53640f000ca6b8a0bd91866af5821fdf36afc5,,
2023.12.30,ChannelsFinance,BSC,,320k,CompoundV2 Inflation,https://bscscan.com/tx/0x93372ce9c86a25f1477b0c3068e745b5b829d5b58025bb1ab234230d3473b776,,
2023.12.28,CCV,BSC,,3.2k,Precision loss,https://app.blocksec.com/explorer/tx/bsc/0x6ba4152db9da45f5751f2c083bf77d4b3385373d5660c51fe2e4382718afd9b4,,
2023.12.22,PineProtocol,ETH,,90k,Business Logic Flaw,https://etherscan.io/tx/0x88db033171344c7b89d50f48e1e50ef3a622371cf3ab997613469904838c83ad,,
2023.12.20,TransitFinance,BSC,,110k,Lack of Validation Pool,https://explorer.phalcon.xyz/tx/bsc/0x93ae5f0a121d5e1aadae052c36bc5ecf2d406d35222f4c6a5d63fef1d6de1081,,
2023.12.17,Bob,BSC,,3BNB,Price Manipulation,https://bscscan.com/tx/0xfb14292a531411f852993e5a3ba4e7eb63ed548220267b9b3f4aacc5572d3a58,,
2023.12.16,GoodDollar,ETH,,2m,Lack of Input Validation & Reentrancy,https://etherscan.io/tx/0x726459a46839c915ee2fb3d8de7f986e3c7391c605b7a622112161a84c7384d0,,
2023.12.14,PHIL,BSC,,3BNB,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0x51dfa4311d6989c21b460590460a94f854446176fc184b8d1a16314fd043f737,,
2023.12.13,HYPR,ETH,,200k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/eth/0x51ce3d9cfc85c1f6a532b908bb2debb16c7569eb8b76effe614016aac6635f65,,
2023.12.11,GoodCompound,ETH,,13k,Price Manipulation,https://getherscan.io/tx/0x1106418384414ed56cd7cbb9fedc66a02d39b663d580abc618f2d387348354ab,,
2023.12.09,BCT,BSC,,10.3BNB,Price Manipulation,https://bscscan.com/tx/0xdae0b85e01670e6b6b317657a72fb560fc388664cf8bfdd9e1b0ae88e0679103,,
2023.12.07,Hnet,BSC,,2.4WBNB,Business logic flaw,https://app.blocksec.com/explorer/tx/bsc/0x67af906c1efc05067a01f197bd780ebf4e0a76729d54288a400e715f87ea50c7,,
2023.12.06,TIME,ETH,,84.59ETH,Arbitrary Address Spoofing Attack,https://explorer.phalcon.xyz/tx/eth/0xecdd111a60debfadc6533de30fb7f55dc5ceed01dfadd30e4a7ebdb416d2f6b6,,
2023.12.05,MAMO,BSC,,3.3k,Price Manipulation,https://bscscan.com/tx/0x189a8dc1e0fea34fd7f5fa78c6e9bdf099a8d575ff5c557fa30d90c6acd0b29f,,
2023.12.01,UnverifiedContr_0x431abb,BSC BSC,,500k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0xb650e9f4b9eb023ea65b55ca4d088323e3d5bda377880dedb149a7fd3fd5c15f|https://app.blocksec.com/explorer/tx/bsc/0xbeea4ff215b15870e22ed0e4d36ccd595974ffd55c3d75dad2230196cc379a52,,
2023.11.30,EEE,BSC,,22.8k,Price Manipulation,https://bscscan.com/tx/0x7312d9f9c13fc69f00f58e92a112a3e7f036ced7e65f7e0fa67382488d5557dc,,
2023.11.29,Burntbubba,ETH,,3k,Price Manipulation,https://etherscan.io/tx/0x2b6d0af0dc513a15e325703405739057f9de6ef3f99934b957653b8a3fade4c6,,
2023.11.25,MetaLend,ETH,,4k,CompoundV2 Inflation Attack,https://etherscan.io/tx/0x4c684fb2618c29743531dec9253ede1b757bda0b323dc2f305e3b50ab1773da7,,
2023.11.16,WECO,BSC,,18k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/BSC/0x2040a481c933b50ee31aba257c2041c48bb7a0b4bf4b4fad1ac165f19c4269e8,,
2023.11.15,EHX,BSC BSC,,Unclear,Lack of Slippage Control,https://bscscan.com/tx/0x8b528372b743b4b8c4eb0904c96529482653187c19e13afaa22f3ba4e08fbfbb|https://bscscan.com/tx/0xf1985a1231e5bcf21a9c7b132e09134322ee212239cdd1f1c6aad26fd119e78c,,
2023.11.12,MEVBot_0x8c2d,BSC,,365k,Lack of Access Control,https://app.blocksec.com/explorer/tx/bsc/0x3dcb26a1f49eb4d02ca29960b4833bfb2e83d7b5d9591aed1204168944c8c9b3,,
2023.11.11,MahaLend,ETH,,20k,Donate Inflation ExchangeRate & Rounding Error,https://app.blocksec.com/explorer/tx/eth/0x2881e839d4d562fad5356183e4f6a9d427ba6f475614ce8ef64dbfe557a4a2cc,,
2023.11.10,Raft_fi,ETH ETH,,3.2m,Donate Inflation ExchangeRate & Rounding Error,https://app.blocksec.com/explorer/tx/eth/0xa1378a4d61e81339daaf2c7c8bb669be42002919f10379c616d0aee34047794e|https://app.blocksec.com/explorer/tx/eth/0xfeedbf51b4e2338e38171f6e19501327294ab1907ab44cfd2d7e7336c975ace7,,
2023.11.07,RBalancer,ETH,,17ETH,Business Logic Flaw,https://etherscan.io/tx/0xbf5b2d22fa88965ddfc6e6d685fc7cfc683340c49e126386759ed9e4027b1415,,
2023.11.06,KR,BSC,,15k,Precision loss,https://app.blocksec.com/explorer/tx/bsc/0x2abf871eb91d03bc8145bf2a415e79132a103ae9f2b5bbf18b8342ea9207ccd7,,
2023.11.02,3913Token,BSC,,31354USD,Deflationary Token Attack,https://defimon.xyz/attack/bsc/0x8163738d6610ca32f048ee9d30f4aa1ffdb3ca1eddf95c0eba086c3e936199ed,,
2023.11.01,SwampFinance,BSC,,Unclear,Business Logic Flaw,https://bscscan.com/tx/0x13e75878a21af9a9b2207f5d9e18f19a43083a9ffbac36df5a7d4d67a52c164f,,
2023.10.30,LaEeb,BSC,,1.8WBNB,Lack Slippage Protection,https://bscscan.com/tx/0x0d13a61e9dc81cfae324d3d80e49830d9bbae300f760e016a15600889a896a1b,,
