日期,项目方,Chain,项目类型,损失金额($),漏洞类型,attack tx,Analyse,Reference Link
2022.12.29,JAY,ETH,,41k,Reentrancy,https://app.blocksec.com/explorer/tx/eth/0xd4fafa1261f6e4f9c8543228a67caf9d02811e4ad3058a2714323964a8db61f6,,
2022.12.25,Rubic,ETH ETH,,3m,Arbitrary Call,https://app.blocksec.com/explorer/tx/eth/0x9a97d85642f956ad7a6b852cf7bed6f9669e2c2815f3279855acf7f1328e7d46|https://app.blocksec.com/explorer/tx/eth/0x30679e7b6b410fb78368f5fb6e4c203e44d81c66ae9014c797e40856be1bbe66,,
2022.12.23,Defrost,Avalanche,,173k,Reentrancy,https://snowtrace.io/tx/0xc6fb8217e45870a93c25e2098f54f6e3b24674a3083c30664867de474bf0212d,,
2022.12.14,Nmbplatform,BSC,,76k,FlashLoan price manipulation,https://app.blocksec.com/explorer/tx/bsc/0x7d2d8d2cda2d81529e0e0af90c4bfb39b6e74fa363c60b031d719dd9d153b012,,
2022.12.14,FPR,BSC,,29k,Access Control,https://bscscan.com/tx/0x1f8e814029a073c52a8668e6ff5bb3264445a8b29886cc9e3ca8ed5f89ccacd3,,
2022.12.13,ElasticSwap,Avalanche,,845k,Business Logic Flaw,https://snowtrace.io/tx/0x782b2410fcc9449ead554a81f78184b6f9cca89f07ea346bc50cf11887cd9b18,,
2022.12.12,BGLD (Deflationary token),BSC,,18k,FlashLoan price manipulation,https://app.blocksec.com/explorer/tx/bsc/0xea108fe94bfc9a71bb3e4dee4a1b0fd47572e6ad6aba8b2155ac44861be628ae,,
2022.12.11,Lodestar,Arbitrum,,4m,FlashLoan price manipulation,https://arbiscan.io/tx/0xc523c6307b025ebd9aef155ba792d1ba18d5d83f97c7a846f267d3d9a3004e8c,,
2022.12.10,MU&MUG,Avalanche,,57k,FlashLoan price manipulation,https://snowtrace.io/tx/0xab39a17cdc200c812ecbb05aead6e6f574712170eafbd73736b053b168555680,,
2022.12.10,TIFIToken,BSC,,51k,FlashLoan price manipulation,https://bscscan.com/tx/0x1c5272ce35338c57c6b9ea710a09766a17bbf14b61438940c3072ed49bfec402,,
2022.12.7,AES (Deflationary token),BSC BSC,,60k,Business Logic Flaw & FlashLoan price,https://app.blocksec.com/explorer/tx/bsc/0xca4d0d24aa448329b7d4eb81be653224a59e7b081fc7a1c9aad59c5a38d0ae19|https://bscscan.com/tx/0x52deb26eda0f8b3b56a3588a9f63d9bda872f507bf782a3e9dfdb7bae969ab7d,,
